On Site Stays Serviced Accommodation & Apartments Wimbledon,London,"92 Alexandra Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
"3 Cedar Park Gardens, Wimbledon, London",London,"3 Cedar Park Gardens, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
TDM Bachelot Lettings Ltd,London,"10 Hamilton Road, London",1.0,4.0,hotels,,,,,,,,,,,,,,,,,,,
Wimbledon Accommodation Ltd.,London,"23 The Crescent, London",5.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Simila Cyprus Holiday Rentals,London,"60 Windsor Avenue, London",5.0,9.0,hotels,,,,,,,,,,,,,,,,,,,
Thirsk Tooting Concept Studios by Allô Housing,London,"40 Thirsk Road, London",2.7,13.0,hotels,,,,,,,,,,,,,,,,,,,
The Long Room Bar & Hotel,London,"130 Mitcham Road, London",4.0,427.0,hotels,,,,,,,,,,,,,,,,,,,
Flexistay Aparthotel Tooting,London,"268 Franciscan Road, London",3.6,120.0,hotels,,,,,,,,,,,,,,,,,,,
914 Rooms,London,"66 Valnay Street, London",1.6,43.0,hotels,,,,,,,,,,,,,,,,,,,
SW17 Rooms,London,"914 Garratt Lane, London",2.2,42.0,hotels,,,,,,,,,,,,,,,,,,,
Hotel Bell Tent,London,"Unit 10, College Field Business, Prince Georges Road, London",4.4,37.0,hotels,,,,,,,,,,,,,,,,,,,
Horton Halls St George's University of London,London,"1 Saint George's Grove, London",4.1,109.0,hotels,,,,,,,,,,,,,,,,,,,
Berendsen Uk Ltd,London,"9 Deer Park Road, London",1.0,3.0,hotels,,,,,,,,,,,,,,,,,,,
Furzedown Brasserie,London,"118 Mitcham Lane, London",3.8,375.0,hotels,,,,,,,,,,,,,,,,,,,
Parklands B&B,London,"10 Parklands Road, London",4.8,42.0,hotels,,,,,,,,,,,,,,,,,,,
Western Lodge,London,"85 Trinity Road, London",5.0,4.0,hotels,,,,,,,,,,,,,,,,,,,
Brookview Guest House,London,"24 Brookview Road, London",4.9,33.0,hotels,,,,,,,,,,,,,,,,,,,
Homebells Guest House,London,"28 Fowler Road, Mitcham",3.3,3.0,hotels,,,,,,,,,,,,,,,,,,,
JB Stays Serviced Accommodation & Apartments London,London,"10 Farewell Place, Mitcham",5.0,5.0,hotels,,,,,,,,,,,,,,,,,,,
London London Stansted Apt United Kingdom,London,"203 Blackshaw Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Balham Lodge,London,"204 Bedford Hill, London",4.3,176.0,hotels,,,,,,,,,,,,,,,,,,,
Travelodge London Balham,London,"177 Balham High Road, London",3.8,611.0,hotels,,,,,,,,,,,,,,,,,,,
Marble Apartments Ltd,London,"1 Empire Mews, London",2.5,8.0,hotels,,,,,,,,,,,,,,,,,,,
The Coach House,London,"2 Tunley Road, London",4.8,8.0,hotels,,,,,,,,,,,,,,,,,,,
Pinfold House,London,"4 Pinfold Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Conquest Hotel,London,"30 Conyers Road, London",2.9,19.0,hotels,,,,,,,,,,,,,,,,,,,
Tooting Place Apartments,London,"34 Park Avenue, Mitcham",3.7,7.0,hotels,,,,,,,,,,,,,,,,,,,
Ekaya Housing Association Ltd,London,"40-42 Ansell Road, London",4.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
DLG,London,"Arnold Road, London",4.7,3.0,hotels,,,,,,,,,,,,,,,,,,,
Metropolitan Retreat,London,"22a Renmuir Street, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Pathway Lodge,London,Mitcham,5.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Wandsworth Suites London,London,"219A Streatham Road, Mitcham",1.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Jubilee Guest House,London,"219A Streatham Road, Mitcham",4.0,7.0,hotels,,,,,,,,,,,,,,,,,,,
294 Franciscan Road Rooms&Studios by EveryWhere to Sleep London,London,"294 Franciscan Road, London",3.5,8.0,hotels,,,,,,,,,,,,,,,,,,,
Wimbledon South Rooms by The Perfect Host,London,"272 Franciscan Road, London",3.2,61.0,hotels,,,,,,,,,,,,,,,,,,,
OYO Home Wandsworth Studios,London,"62 Mitcham Road, Greater, London",3.3,3.0,hotels,,,,,,,,,,,,,,,,,,,
Elm Lodge,London,"Elm Lodge, 7 Grove Road, Mitcham",5.0,3.0,hotels,,,,,,,,,,,,,,,,,,,
Marble Apartments Tooting Broadway,London,"19 Coverton Road, London",3.2,11.0,hotels,,,,,,,,,,,,,,,,,,,
Leigham Court Hotel,London,"18 Leigham Court Road, London",4.2,443.0,hotels,,,,,,,,,,,,,,,,,,,
Flexistay Norbury Apart Hotel,London,"49 Norbury Crescent, London",3.7,111.0,hotels,,,,,,,,,,,,,,,,,,,
The Bedford,London,"77 Bedford Hill, London",4.2,1657.0,hotels,,,,,,,,,,,,,,,,,,,
SW16 Rooms,London,"29 Norbury Crescent, London",2.2,65.0,hotels,,,,,,,,,,,,,,,,,,,
The Garden Bed & Breakfast,London,"Killieser Avenue, London",4.2,6.0,hotels,,,,,,,,,,,,,,,,,,,
Stanthorpe Hotel,London,"26 Stanthorpe Road, London",2.9,26.0,hotels,,,,,,,,,,,,,,,,,,,
Windsor House,London,"Windsor House, 1270 London Road, London",4.0,32.0,hotels,,,,,,,,,,,,,,,,,,,
Chez Aliz International Uk Ltd,London,"11 Garrad's Road, London",3.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Gleneagle Guest House,London,"11 Gleneagle Road, London",3.7,3.0,hotels,,,,,,,,,,,,,,,,,,,
Streatham Common B&B,London,"12-14 Donnybrook Road, London",4.9,53.0,hotels,,,,,,,,,,,,,,,,,,,
Schlid,London,"Neptune Court, 1 Meopham Road, London, Mitcham",4.5,2.0,hotels,,,,,,,,,,,,,,,,,,,
MK Guest House,London,"Stockport Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Fargo's flats hote,London,"28 Lewin Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Coral House,London,"6 Beckway Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Guest House London - Norbury,London,"1530 London Road, London",3.8,38.0,hotels,,,,,,,,,,,,,,,,,,,
Crystal Lodge Hotel,London,"49 Brigstock Road, Thornton Heath",2.9,194.0,hotels,,,,,,,,,,,,,,,,,,,
Clock House Hotel,London,"47 Brigstock Road, Thornton Heath",2.7,127.0,hotels,,,,,,,,,,,,,,,,,,,
Hostel29,London,"Norbury Crescent, London",1.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Norbury Guest Apartment,London,"16 Saint Helen's Road, Norbury, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Ezy Property Solution Short Lets & Serviced Accommodation Norbury,London,"236 Northborough Road, Norbury, London",5.0,9.0,hotels,,,,,,,,,,,,,,,,,,,
Dayrooms,London,"flat 1, 165 Norbury Crescent, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Hotel IK London B&B,London,"66 Becmead Avenue, London",1.5,4.0,hotels,,,,,,,,,,,,,,,,,,,
Gast gezin,London,"47 Glamorgan Close, Mitcham",5.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
RUSCOE HOUSE,London,"Sardeson House, Knights Hill, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Best Western London Queens Hotel Crystal Palace,London,"122 Church Road, London",3.2,2115.0,hotels,,,,,,,,,,,,,,,,,,,
Westow House Pub & Hotel,London,"79 Westow Hill, London",4.2,1791.0,hotels,,,,,,,,,,,,,,,,,,,
Fitze Millenium Foyer,London,"6 Sylvan Hill, London",4.7,6.0,hotels,,,,,,,,,,,,,,,,,,,
The Lilac Door,London,"140 Rosendale Road, London",4.8,47.0,hotels,,,,,,,,,,,,,,,,,,,
Church Road Hostel,London,"201 Church Road, London",2.8,6.0,hotels,,,,,,,,,,,,,,,,,,,
Gilroy Court,London,"593 London Road, Thornton Heath",2.7,39.0,hotels,,,,,,,,,,,,,,,,,,,
Oasis Community Housing Foyer Croydon,London,"162 Gillett Road, Thornton Heath",4.1,7.0,hotels,,,,,,,,,,,,,,,,,,,
Stonebridge Lodge,London,"290 Brigstock Road, Thornton Heath",3.3,31.0,hotels,,,,,,,,,,,,,,,,,,,
Girls Domain,London,"London, Thornton Heath",3.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
N T Nails,London,"33 Knights Hill, London",3.9,31.0,hotels,,,,,,,,,,,,,,,,,,,
gare de pancras,London,"56A Knights Hill, Norwood, London",1.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Gatestone Court,London,"15 Gatestone Road, London",4.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
London Holiday Stop Over,London,"102 Richmond Road, Thornton Heath",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Hotel Residencia Santa Clara,London,"25-27 Westow Street, London",5.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Woodland Yard,London,"1A Woodland Road, London",4.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Cosy House - Thornton Heath,London,"945 London Road, Thornton Heath",3.0,6.0,hotels,,,,,,,,,,,,,,,,,,,
Travelodge London Crystal Palace,London,"Yeoman House, 61 - 63 Croydon Road, London",3.6,686.0,hotels,,,,,,,,,,,,,,,,,,,
South London Scout Centre,London,"Grange Lane, London",4.3,163.0,hotels,,,,,,,,,,,,,,,,,,,
Crystal Palace B&B,London,"1 Patterson Road, London",4.8,12.0,hotels,,,,,,,,,,,,,,,,,,,
Watson's residents,London,"10 Dunkeld Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Gilpin House,London,"Grange Road, Thornton Heath",4.8,4.0,hotels,,,,,,,,,,,,,,,,,,,
Hush Haven Homes| Luxury Short - Stay and Serviced Accommodation,London,"101 Maple Road, London",5.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Bletchingley Close Residences,London,"Bletchingley Close, London, Thornton Heath",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Centre Point,London,"152 Kirkdale, London",4.0,3.0,hotels,,,,,,,,,,,,,,,,,,,
City Access,London,"19 Sandringham Road, Thornton Heath",4.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Melrose House Bed & Breakfast,London,"89 Lennard Road, London",4.5,146.0,hotels,,,,,,,,,,,,,,,,,,,
Crony Chauffeur Services,London,"218 Portland Road, London",4.8,12.0,hotels,,,,,,,,,,,,,,,,,,,
Heathrow Gatwick Cars,London,"218 Portland Road, London",4.7,88.0,hotels,,,,,,,,,,,,,,,,,,,
All Inn One Pub,London,"53 Perry Vale, London",4.4,246.0,hotels,,,,,,,,,,,,,,,,,,,
Elm View Court,London,"146 Elmers End Road, Beckenham",3.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Miriam Lodge Hotel,London,"Miriam Lodge, 185 Dartmouth Road, London",3.5,48.0,hotels,,,,,,,,,,,,,,,,,,,
Forest Lodge,London,"Forest Lodge, Dartmouth Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
London Bridge Stay,London,"106 Portland Road, London",4.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Merrydown,London,"29 Dacres Road, London",4.4,5.0,hotels,,,,,,,,,,,,,,,,,,,
Probation Hostel,London,"4 Beckenham Road, Beckenham",3.5,2.0,hotels,,,,,,,,,,,,,,,,,,,
Casa de ale y kevin,London,"2-4, London Road, London",4.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Birchanger Apartment,London,"Flat 2, 97 Birchanger Road, London",4.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
,,,,,events,NeuroNext,Egg London,5.0,18.0,0.0,,,,,,,,,,,,,,
Woodside Lodge,London,"122 Birchanger Road, London",3.7,3.0,hotels,,,,,,,,,,,,,,,,,,,
Joseph samuels apartments,London,"160 Croydon Road, Beckenham",4.3,7.0,hotels,,,,,,,,,,,,,,,,,,,
TLK Apartments & Hotel - Beckenham,London,"80 High Street, Beckenham",2.9,204.0,hotels,,,,,,,,,,,,,,,,,,,
80 High Street,London,"80 High Street, Beckenham",2.3,9.0,hotels,,,,,,,,,,,,,,,,,,,
Beckenham Park Hotel,London,"10 Copers Cope Road, Beckenham",4.3,71.0,hotels,,,,,,,,,,,,,,,,,,,
TLK Apartments & Hotel - Beckenham Junction,London,"30 High Street, Beckenham",3.3,4.0,hotels,,,,,,,,,,,,,,,,,,,
Travelodge London Beckenham,London,"Kelsey House, 75 High Street, Beckenham",1.5,10.0,hotels,,,,,,,,,,,,,,,,,,,
Casa de Alberto,London,"8 Levendale Road, London",2.3,9.0,hotels,,,,,,,,,,,,,,,,,,,
Shirley-Oaks,London,"7 Ambleside Avenue, Beckenham",2.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Dez - Rez Hotel,London,"131 Catford Hill, London",4.5,2.0,hotels,,,,,,,,,,,,,,,,,,,
The Bromley Court Hotel,London,"Bromley Hill, Bromley",4.3,1956.0,hotels,,,,,,,,,,,,,,,,,,,
Park Langley,London,"3 Whitecroft Way, Beckenham",5.0,4.0,hotels,,,,,,,,,,,,,,,,,,,
NumberFortySeven B&B,London,"47 Stone Park Avenue, Beckenham",3.3,3.0,hotels,,,,,,,,,,,,,,,,,,,
London Self Catering Apartments,London,"30 The Croft, Bromley Road, London",4.3,43.0,hotels,,,,,,,,,,,,,,,,,,,
Harefield Holiday Apartments,London,"29 Canadian Avenue, London",4.7,3.0,hotels,,,,,,,,,,,,,,,,,,,
Albemarle Apartment,London,"80C Albemarle Road, Beckenham",4.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
In2London,London,"23 Harlie Court Road, London SE6 2QS, UK, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
The Lord's Cottage,London,"3 Riverview Park, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Dreamy Home London,London,"111 Winlaton Road, Bromley",5.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Jubilee House,London,"58 Canadian Avenue, London",4.5,2.0,hotels,,,,,,,,,,,,,,,,,,,
Fairway Lodge,London,"400-408 Stanstead Road, London",3.3,8.0,hotels,,,,,,,,,,,,,,,,,,,
London Self Catering Apartments,London,"27 Canadian Avenue, London",3.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
The Lodge Hotel,London,"52-54 Upper Richmond Road, London",4.4,597.0,hotels,,,,,,,,,,,,,,,,,,,
SouthfieldsB&BStudios,London,"22 Sutherland Grove, London",3.0,3.0,hotels,,,,,,,,,,,,,,,,,,,
Essington Guesthouse Apartment,London,"Flat 10, Essington House, Lytton Grove, London",2.5,6.0,hotels,,,,,,,,,,,,,,,,,,,
Sandra & Andrew's B&B,London,"89 Wimbledon Park Road, London",4.8,5.0,hotels,,,,,,,,,,,,,,,,,,,
LondonHomeGardens,London,"66 Hazlewell Road, London",1.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
The White Door Bed and Breakfast,London,"34 Pulborough Road, London",4.6,7.0,hotels,,,,,,,,,,,,,,,,,,,
Premier Inn London Wandsworth hotel,London,"45 Garratt Lane, London",4.2,899.0,hotels,,,,,,,,,,,,,,,,,,,
Wimbledon Park Bed & Breakfast,London,"21 Gartmoor Gardens, London",5.0,9.0,hotels,,,,,,,,,,,,,,,,,,,
"Osborne House, SW19",London,"414 Wimbledon Park Road, London",5.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Holm Wimbledon Park,London,"44 Augustus Road, London",4.1,37.0,hotels,,,,,,,,,,,,,,,,,,,
Woodman Hotel,London,"222 Durnsford Road, London",4.8,21.0,hotels,,,,,,,,,,,,,,,,,,,
NDS,London,"5B Summerley Street, London",4.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Phoenix Luxury Stays - Putney,London,"74 Putney Hill, London",5.0,4.0,hotels,,,,,,,,,,,,,,,,,,,
Wandsworth B & B,London,"34 Westover Road, London",4.2,5.0,hotels,,,,,,,,,,,,,,,,,,,
VIP SKI,London,"57 Putney Bridge Road, London",4.5,32.0,hotels,,,,,,,,,,,,,,,,,,,
Althorp Lodge,London,"7 Althorp Road, London",5.0,7.0,hotels,,,,,,,,,,,,,,,,,,,
Doreen's Holiday Lets,London,"9 Wimbledon Road, London",3.8,4.0,hotels,,,,,,,,,,,,,,,,,,,
Diprose Lodge,London,"2 Wimbledon Road, London",5.0,3.0,hotels,,,,,,,,,,,,,,,,,,,
Clapham South B&B,London,"41 Broxash Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
White Hill House 5,London,"Balham Hill, London",5.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Clapham South 1,London,"Apartment 36, 4 Balham Hill, London",4.5,6.0,hotels,,,,,,,,,,,,,,,,,,,
Madison Hill,London,"Unit 6a, Hillgate Place, London",4.8,36.0,hotels,,,,,,,,,,,,,,,,,,,
Clapham South Dudley Hotel,London,"79-81 Clapham Common South Side, London",3.1,952.0,hotels,,,,,,,,,,,,,,,,,,,
Thrive Apartments,London,"73 Battersea Rise, London",4.2,13.0,hotels,,,,,,,,,,,,,,,,,,,
Tooting Bec Rooms at Fishponds by DC London Rooms,London,"53 Fishponds Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
New Servol,London,"9 Trinity Road, London",4.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Gap House,London,"Lynwood Road, London",5.0,3.0,hotels,,,,,,,,,,,,,,,,,,,
London Deluxe Apartments,London,"Flat 1, 303-307 Balham High Road, London",3.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Premier Inn London Tooting hotel,London,"1 Hebdon Road, London",4.3,272.0,hotels,,,,,,,,,,,,,,,,,,,
Flexistay Tooting Studios,London,"69 Hillbrook Road, London",2.5,2.0,hotels,,,,,,,,,,,,,,,,,,,
The Bunkbed @ Pravs,London,"119 Lessingham Avenue, London",5.0,4.0,hotels,,,,,,,,,,,,,,,,,,,
St Peters Close,London,"22 Saint Peter's Close, London",4.8,5.0,hotels,,,,,,,,,,,,,,,,,,,
Cherwell House,London,"82, 88 Elmfield Road, London",1.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Holmewood Homestay,London,"Holmewood Gardens, London",4.4,16.0,hotels,,,,,,,,,,,,,,,,,,,
Burlington Residence,London,"Burlington Residence, 146A Bedford Hill, London",4.9,13.0,hotels,,,,,,,,,,,,,,,,,,,
Byrne Garden 1,London,"Byrne Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Balham Double Deluxe Room 3,London,"114 Fernlea Road, London",1.0,3.0,hotels,,,,,,,,,,,,,,,,,,,
Balham Double Deluxe Room 4,London,"114 Fernlea Road, London",1.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Balham Double Deluxe Room 2,London,"114 Fernlea Road, London",1.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Best Priced Living London B5,London,"Apt B5, 114 Fernlea Road, London",1.2,6.0,hotels,,,,,,,,,,,,,,,,,,,
Crib Surfer,London,"114 Fernlea Road, London",1.0,7.0,hotels,,,,,,,,,,,,,,,,,,,
Fernlea Garden Apartment,London,"46 Fernlea Road, London",1.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Thornton Lounge Sleeps 4 - City Centre,London,"76 Thornton Road, London",1.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
"The Half Moon, Herne Hill",London,"10 Half Moon Lane, London",4.3,1506.0,hotels,,,,,,,,,,,,,,,,,,,
Gaumont Place,London,London,4.6,20.0,hotels,,,,,,,,,,,,,,,,,,,
Wavertree House,London,"149 Wavertree Road, London",3.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Claremont East Estate,London,London,3.8,5.0,hotels,,,,,,,,,,,,,,,,,,,
Thorn - Romance Deluxe Room,London,"76 Thornton Road, London",1.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Thornton Edwardian House Balham,London,"76 Thornton Road, London",2.1,8.0,hotels,,,,,,,,,,,,,,,,,,,
"Innkeeper's Collection Dulwich, London",London,"The Crown & Greyhound, 74 Dulwich Village, London",4.3,184.0,hotels,,,,,,,,,,,,,,,,,,,
Premier Inn London Brixton hotel,London,"434 Coldharbour Lane, London",4.2,1082.0,hotels,,,,,,,,,,,,,,,,,,,
Forest Court,London,"250 Rosendale Road, London",5.0,6.0,hotels,,,,,,,,,,,,,,,,,,,
Kintyre Court,London,"41 New Park Road, London",3.8,31.0,hotels,,,,,,,,,,,,,,,,,,,
Tilson House,London,"Tilson Gardens, London",4.4,18.0,hotels,,,,,,,,,,,,,,,,,,,
B&B @Dove,London,"6 Dovedale Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Southside Partnership,London,"1 Marmora Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
East Dulwich B&B,London,"3 Pellatt Road, London",4.0,12.0,hotels,,,,,,,,,,,,,,,,,,,
Hytyme,London,"261 Barry Road, London",4.1,28.0,hotels,,,,,,,,,,,,,,,,,,,
Holiday Flat - Dulwich Park,London,"Melford Court, 19 Melford Road, London",4.5,4.0,hotels,,,,,,,,,,,,,,,,,,,
Delta Accommodation Providers of Premier & Unique Serviced Apartments,London,"73 East Dulwich Grove, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Harringsworth House,London,"133 Honor Oak Park, London",5.0,5.0,hotels,,,,,,,,,,,,,,,,,,,
Oaklands Refugee Services,London,"194 Honor Oak Park, London",4.8,4.0,hotels,,,,,,,,,,,,,,,,,,,
Honor Lea,London,"117, 103-117 Brockley Rise, London",3.4,11.0,hotels,,,,,,,,,,,,,,,,,,,
StayZo Serviced Accommodation - Crofton Park,London,"Bexhill Road, London",4.9,9.0,hotels,,,,,,,,,,,,,,,,,,,
Changing Life Care Home,London,"54 Bexhill Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Bomba hotel,London,"53B Hichisson Road, London",5.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
London Group Accommodation,London,"Ravensbourne House, 28 Bromley Road, London",4.1,22.0,hotels,,,,,,,,,,,,,,,,,,,
Stylish 4 Bedroom House With a Garden,London,"19 Muirkirk Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Fig Tree House B&B,London,"32 Duncrievie Road, London",4.8,14.0,hotels,,,,,,,,,,,,,,,,,,,
Premier Inn London Putney Bridge hotel,London,"Premier Inn, 3 Putney Bridge, Putney Bridge Approach, London",4.0,1527.0,hotels,,,,,,,,,,,,,,,,,,,
Holiday Inn Express London - Wandsworth by IHG,London,"Riverside West, Smugglers Way, London",4.2,1375.0,hotels,,,,,,,,,,,,,,,,,,,
Barnes Bed and Breakfast,London,"106 Elm Grove Road, London",4.6,67.0,hotels,,,,,,,,,,,,,,,,,,,
mk | hotel,London,"317 Putney Bridge Road, London",4.1,393.0,hotels,,,,,,,,,,,,,,,,,,,
Travelodge London Battersea,London,"200 York Road, London",3.2,1246.0,hotels,,,,,,,,,,,,,,,,,,,
Fulham BnB,London,"h, 26 Querrin Street, London",3.9,7.0,hotels,,,,,,,,,,,,,,,,,,,
A Place Like Home,London,"Suite 33, Parsons Green, 27 Parsons Green Lane, London",4.5,15.0,hotels,,,,,,,,,,,,,,,,,,,
Fulham B&B,London,"11 Ewald Road, London",5.0,14.0,hotels,,,,,,,,,,,,,,,,,,,
"One Fanthorpe Street, Bed and Breakfast Putney",London,"1 Fanthorpe Street, London",4.8,9.0,hotels,,,,,,,,,,,,,,,,,,,
Couranan Estate,London,"57 Napier Avenue, London",4.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
UnderTheDoormat,London,"210 New Kings Road, London",3.5,57.0,hotels,,,,,,,,,,,,,,,,,,,
Cirrus Inns,London,"137 Stephendale Road, London",2.6,8.0,hotels,,,,,,,,,,,,,,,,,,,
